OrganismRowID,OrganismCodeMaster,CommonNameMaster,OrganismCodeSTN,FieldNameSTN,OrganismCodeMWT,FieldNameMWT,OrganismSymbol,Active,CommonName,Phylum,Class,Order,Family,Genus,Species
107,3001,Pacific sanddab,103,,17,PSANDAB,,TRUE,Pacific Sanddab,Chordata,NA,NA,Bothidae,Citharichthys,sordidus
108,1006,Pacific sardine,155,,96,PSARDINE,,TRUE,Pacific Sardine,Chordata,NA,NA,NA,Sardinops,sagax
109,2407,Pacific staghorn sculpin,48,STAGHORN,30,PSTGSCLP,SSC,TRUE,Staghorn Sculpin,Chordata,NA,NA,Cottidae,Leptocottus,armatus
110,1302,Pacific tomcod,104,,18,PTOMCOD,,TRUE,Pacific Tomcod,Chordata,NA,NA,Gadidae,Microgadus,proximus
111,2414,padded sculpin,,,,,,TRUE,,,,,,,
112,2665,painted greenling,,,,,,TRUE,,,,,,,
113,5102,Palaemon spp.,109,,23,PALAEMON,PAL,TRUE,Palaemon,Arthropoda,NA,NA,Caridae,Palaemon,macrodactylus
114,2826,penpoint gunnel,,,,,,TRUE,,,,,,,
115,,perches (Unid),43,,,,PER,TRUE,Perches (Unid),Chordata,NA,NA,Percidae,NA,NA
116,2118,pile perch,115,,47,PILEPRCH,,TRUE,Pile Surfperch,Chordata,NA,NA,Embiotocidae,Damalichthys,vacca
117,1101,pink salmon,152,,,,,TRUE,Pink Salmon,Chordata,NA,NA,NA,Oncorhynchus,gorbuscha
118,4032,plainfin midshipman,50,PLNMIDSH,14,PMIDSHIP,PFM,TRUE,Plainfin Midshipman,Chordata,NA,NA,Batrachoididae,Porichthys,notatus
119,6075,Pleurobrachia bachei,,,107,,,TRUE,,,,,,,
120,1824,poacher (Unid),,,,,,TRUE,,,,,,,
121,6032,Polyorchis penicillatus,181,POLYORCP,105,,POL,TRUE,Polyorchis penicillatus,Cnidaria,NA,NA,NA,NA,NA
122,2813,prickleback (Unid),,,,,,TRUE,,,,,,,
123,7191,prickly sculpin,49,PRKSCULP,73,PRCKSCUL,PSC,TRUE,Prickly Sculpin,Chordata,NA,NA,Cottidae,Cottus,asper
124,7145,pumpkinseed,150,,,,,TRUE,Pumpkinseed,Chordata,NA,NA,NA,Lepomis,gibbosus
125,1834,pygmy poacher,,,,,,TRUE,,,,,,,
126,2512,queenfish,,,,,,TRUE,,,,,,,
127,2112,rainbow seaperch,,,,,,TRUE,,,,,,,
128,7118,rainwater killifish,65,RAINKILL,,,RK,TRUE,Rainwater Killifish,Chordata,NA,NA,Fundulidae,Lucania,parva
129,1641,red brotula,,,,,,TRUE,,,,,,,
130,2405,red Irish lord,,,,,,TRUE,,,,,,,
131,7061,red shiner,154,,,,,TRUE,Red Shiner,Chordata,NA,NA,NA,Cyprinella,lutrensis
132,7144,redear sunfish,56,,104,,RES,TRUE,Redear Sunfish,Chordata,NA,NA,Centrarchidae,Lepomis,microlophus
133,2103,redtail surfperch,134,,46,RTLSPRCH,,TRUE,Redtail Surfperch,Chordata,NA,NA,Embiotocidae,Amphistichus,rhodoterus
134,,riffle sculpin,143,,112,,,TRUE,Riffle Sculpin,Chordata,NA,NA,NA,Cottus,gulosus
135,22,river lamprey,62,RIVRLAMP,11,RLAMPREY,RL,TRUE,River Lamprey,Chordata,NA,NA,Petromyzontidae,Lampetra,ayresi
136,3108,rock sole,122,,85,ROCKSOLE,,TRUE,Rock Sole,Chordata,NA,NA,Pleuronectidae,Lepidopsetta,bilineata
137,2398,rockfish (Unid),,,,,,TRUE,,,,,,,
138,2677,rockpool blenny,,,,,,TRUE,,,,,,,
139,2117,rubberlip seaperch,128,,44,RUBLPRCH,,TRUE,Rubberlip Surfperch,Chordata,NA,NA,Embiotocidae,Rhacochilus,toxotes
140,7053,Sacramento blackfish,118,,62,SACBLAKF,,TRUE,Sacramento Blackfish,Chordata,NA,NA,Cyprinidae,Orthodon,microlepidotus
141,,Sacramento perch,42,SACPERCH,51,SACPERCH,SP,TRUE,Sacramento Perch,Chordata,NA,NA,Centrarchidae,Archoplites,interruptus
142,7057,Sacramento pikeminnow,30,SACSQUAW,63,SACSQUAW,SQ,TRUE,Sacramento Pikeminnow,Chordata,NA,NA,Cyprinidae,Ptychocheilus,grandis
143,7080,Sacramento sucker,64,SACSUCKR,66,SACSUCKR,SUC,TRUE,Sacramento Sucker,Chordata,NA,NA,Catostomidae,Catostomus,occidentalis
144,2829,saddleback gunnel,,,,,,TRUE,,,,,,,
145,3126,sand sole,119,,81,SANDSOLE,,TRUE,Sand Sole,Chordata,NA,NA,Pleuronectidae,Psettichthys,melanostictus
146,3000,sanddab (Unid),,,,,,TRUE,,,,,,,
147,221,sandpaper skate,,,,,,TRUE,,,,,,,
148,2432,scalyhead sculpin,,,,,,TRUE,,,,,,,
149,,Scrippsia pacifica,,,106,,,TRUE,,,,,,,
